BHG - Closed Business Journal Report,,,,,,,,,,,,
"COMPANY
ID",OFFICE,TRANSACTION ID ,MLS#,"PROPERTY
ADDRESS",CITY,"STATE/
PROVINCE","ZIP/
POSTAL CODE","SALES
VOLUME",LOCAL CURRENCY,"ACTUAL CLOSE
DATE",SALES ID,SELLING SA1 ID
400164,0001,T09876,,1 Parkwood Circle,Council Bluffs,IA,51503,"$205,000",USD,03/04/2022,,0341
400164,0001,T10837,,1000 Claudene Court,Bellevue,NE,68005,"$340,000",USD,07/29/2022,,10056
400164,0001,M26G43-T09952,22206037,10007 S 9th Court,Bellevue,NE,68123,"$220,500",USD,04/29/2022,0250,
400164,0004,SG6XJD-T04046,22205960,10009 S. 177th Street,Omaha,NE,68136,"$550,000",USD,05/20/2022,0381,
400164,0001,T09709,,10009 South 163rd Avenue,Omaha,NE,68136,"$875,000",USD,01/21/2022,,0364
400164,0004,T03717,,1001 Colorado Street,Bellevue,NE,68005,"$250,000",USD,02/01/2022,,0160
400164,0005,T02784,,1001 Gold Coast Road,Papillion,NE,68046,"$330,000",USD,10/04/2022,,0353
400164,0005,T02788,,10011 South 9th Circle,Bellevue,NE,68123,"$231,000",USD,10/12/2022,,0223
400164,0001,T10174,,10013 South 14th Street,Bellevue,NE,68123,"$267,750",USD,04/29/2022,,0269
400164,0004,9NRZ29-T04083,22212571,10016 Floyd St,La Vista,NE,68128,"$425,000",USD,08/01/2022,0160,
400164,0004,G4BY65-T04609,22220790,1002 Martin Drive,Bellevue,NE,68005,"$765,000",USD,11/01/2022,0384,0074
400164,0001,TRN774-T09921,22205416,10020 North 53rd St,Omaha,NE,68152,"$490,000",USD,04/27/2022,0066,
400164,0005,QN6HE6-T02633,22217253,10022 S 203rd St,Gretna,NE,68028,"$310,000",USD,08/29/2022,0333,
400164,0004,T03736,,10028 S 170th Circle,Omaha,NE,68136,"$338,000",USD,02/11/2022,,0074
400164,0001,9R56QD-T10145,,1003 Johnston Plaza,Omaha,NE,68108,"$990,000",USD,04/28/2022,0240,
400164,0001,9R56QD-T10145,,1003 Johnston Plaza,Omaha,NE,68108,"$990,000",USD,04/28/2022,,0240
400164,0005,BQNG57-T02166,22202104,1004 Hardwood Drive,Papillion,NE,68046,"$620,000",USD,04/15/2022,0316,
400164,0005,BQNG57-T02166,22202104,1004 Hardwood Drive,Papillion,NE,68046,"$620,000",USD,04/15/2022,,0353
400164,0005,T02146,,1004 West Perry Street,Papillion,NE,68046,"$270,000",USD,01/10/2022,,0318
400164,0004,GTW9Z2-T04599,22223193,1005 Cumberland Court,Papillion,NE,68046,"$290,000",USD,10/28/2022,10059,
400164,0004,P8WCHP-T03890,22207195,1005 S 159th Ave,Omaha,NE,68118,"$353,500",USD,05/31/2022,0262,
400164,0004,T04376,,1006 Skyline Drive,Omaha,NE,68022,"$940,000",USD,08/04/2022,,10047
400164,0001,K7D76P-T11131,22221566,1007 Johnston Plaza,Omaha,NE,68108,"$510,000",USD,09/30/2022,0240,
400164,0004,E5LLTE-T04431,22221089,1007 Julius Place,Bellevue,NE,68005,"$225,000",USD,09/29/2022,0475,
400164,0005,TDF48H-T02711,22217287,1007 Valleyview Dr,Papillion,NE,68046,"$335,000",USD,08/29/2022,0074,
400164,0001,T09902,,1008 Bancroft St,Omaha,NE,68108,"$229,900",USD,03/15/2022,,0360
400164,0001,TZ3S48-T09879,22204706,1009 Conestoga Road,Papillion,NE,68046,"$590,000",USD,04/22/2022,10050,0355
